Scientific Name,Wikidata Q-number
Acacia saligna,Q402385
Acridotheres tristis,Q116667
Ailanthus altissima,Q159570
Alopochen aegyptiaca,Q274179
Alternanthera philoxeroides,Q1472735
Ameiurus melas,Q998380
Andropogon virginicus,Q309785
Arthurdendyus triangulatus,Q2698648
Asclepias syriaca,Q158295
Axis axis,Q232054
Baccharis halimifolia,Q948018
Cabomba caroliniana,Q786072
Callosciurus erythraeus,Q860603
Callosciurus finlaysonii,Q2086835
Cardiospermum grandiflorum,Q15547168
Celastrus orbiculatus,Q259033
Channa argus,Q1156826
Cortaderia jubata,Q5173212
Corvus splendens,Q507383
Ehrharta calycina,Q3049297
Eichhornia crassipes,Q39600979
Elodea nuttallii,Q158887
Eriocheir sinensis,Q823941
Faxonius rusticus,Q59712751
Fundulus heteroclitus,Q939303
Gambusia affinis,Q723904
Gambusia holbrooki,Q1930449
Gunnera tinctoria,Q847582
Gymnocoronis spilanthoides,Q1394846
Hakea sericea,Q3283002
Heracleum mantegazzianum,Q826602
Heracleum persicum,Q1418112
Heracleum sosnowskyi,Q2600107
Herpestes javanicus,Q600530
Humulus scandens,Q162736
Hydrocotyle ranunculoides,Q596203
Impatiens glandulifera,Q158035
Koenigia polystachya,Q15146805
Lagarosiphon major,Q6471912
Lampropeltis getula,Q747093
Lepomis gibbosus,Q826713
Lespedeza cuneata,Q5364126
Limnoperna fortunei,Q3267225
Lithobates catesbeianus,Q159404
Ludwigia grandiflora,Q3266274
Ludwigia peploides,Q3007973
Lygodium japonicum,Q3338251
Lysichiton americanus,Q469972
Microstegium vimineum,Q5699638
Morone americana,Q2337531
Muntiacus reevesi,Q695973
Myocastor coypus,Q187704
Myriophyllum aquaticum,Q899338
Myriophyllum heterophyllum,Q160407
Nasua nasua,Q148462
Nyctereutes procyonoides,Q133189
Ondatra zibethicus,Q26283
Orconectes limosus,Q107078367
Orconectes virilis,Q59282984
Oxyura jamaicensis,Q647461
Pacifastacus leniusculus,Q693000
Parthenium hysterophorus,Q3595850
Pennisetum setaceum,Q50840675
Perccottus glenii,Q10623625
Persicaria perfoliata,Q836721
Pistia stratiotes,Q654001
Plotosus lineatus,Q767055
Procambarus clarkii,Q1133124
Procambarus virginalis,Q61642001
Procyon lotor,Q121439
Prosopis juliflora,Q127800004
Pseudorasbora parva,Q583540
Pueraria montana,Q1054489
Pycnonotus cafer,Q509455
Rugulopteryx okamurae,Q29904651
Salvinia molesta,Q2716094
Sciurus carolinensis,Q468500
Sciurus niger,Q694296
Solenopsis geminata,Q3720386
Solenopsis invicta,Q1194382
Solenopsis richteri,Q2033073
Tamias sibiricus,Q329187
Threskiornis aethiopicus,Q208763
Trachemys scripta elegans,Q207839
Triadica sebifera,Q702175
Vespa velutina nigrithorax,Q136668
Wasmannia auropunctata,Q978483
Xenopus laevis,Q654718
